num,speaker,sentence
ep01-0001,성나정,아..진짜 어디갔지..
ep01-0002,조윤진,"아니, 오늘이사한집 맞냐? 먼지하나없네 먼지하나없어.. 후~ 근데 닌 뭐찾냐?"
ep01-0003,성나정,아.. 여기 아니면 없는데..
ep01-0004,조윤진,우메 이게 뭐대? 아이 니는 이그시 여태까지 있어? 와.. 아 젊다 젊어~ 시상에 꽃띠다 꽃띠. 야 문경은이 겁나 날씬해분다잉
ep01-0005,성나정,야야 거 침묻히지 말고 곱게봐라 우리집 신주단지다 그거. 찾았다. 야야 너 어디가?!
ep01-0006,보조출연,"안녕하세요, 잠깐 나갔다 올게."
ep01-0007,조윤진,아따 쑥쑥이 많이 커뿌따잉.. 자때문에 놀란것이 엊그제같구만. 근데 자 공부는 잘하냐?
ep01-0008,성나정,잘하긋냐? 컸다고 말도안듣고 위아래로 수염나고 징그러워죽겠다 아주.
ep01-0009,조윤진,야.. 그 비디오 오랜만이다잉. 근디 갑자기 비디오는 왜? 야 너 설마 그거 결혼식 테이프냐?
ep01-0010,성나정,어. 성나정양 결혼식테이프.
ep01-0011,조윤진,"지랄.. 닌 여지껏 신혼이냐, 것을 아직도보게?!"
ep01-0012,성나정,"무슨, 잃어버린줄 알았는데 그저께 이삿짐 싸다가 발견했다니까. 어디 닭살스럽고 토나와서 그땐 차마 못 봤지, 오늘 첫 개봉이다야."
ep01-0013,조윤진,그걸 꼭 집들이 때 봐야쓰것냐
ep01-0014,성나정,뭐어때~ 멤버들 그대로 옛날모습도 보고 좋지뭐.
ep01-0015,조윤진,씁... 니가 젤 험할껄? 니 그때 박주미 웨딩드레스 입는다고 머리에 뭔 왕관도 쓰고 그랬자네.
ep01-0016,성나정,보지마까.. 완전 개 오그라 뜰텐데..
ep01-0017,효과음,(전화벨)
ep01-0018,성나정,"여태 안오고 뭐해, 전철탔지? 잘했다, 퇴근시간에 강변북로 맨날 막혀.. 한남대교부터 막히니까 중간에 이태원으로 빠져가지고 시내로 들어오지않는한 꼼짝마라야. 어, 그렇지 약수역에서 6호선으로 갈아타고. 그게 젤 빨라 DMC역. 글고 올때 커피 좀 사와라, 윤진아 너 커피안마시지 뭐마실래?"
ep01-0019,조윤진,난 주스
ep01-0020,성나정,"오렌지주스 한잔이랑 내껄로는 거기 블루베리요거트 있거든? 그거 아몬드는 빼고 에스프레소 두스푼만얹어가지고...알겠다 알겠어 맘대로사와, 미안해 빨리와~ 응~ 아몬드 싫다니까.."
ep01-0021,조윤진,"아따, 울 성나정이 서울사람 다 됐구마, 이제 서울지리도 빠삭~하고 커피도 야물딱지게 시켜불고 아 마산 촌년이 출세했다잉?"
ep01-0022,성나정,"친구야, 올해로 내가 서울생활 19년째거든. 인생의 반을 서울에서 살았는데 이만하면 서울사람인거 아니~니~?"
ep01-0023,조윤진,하기사.. 저때비하면 니도 완전 서울사람이제..
ep01-0024,성나정,"야.. 나 대가리에 뭐,뭘 쓴거니.. 안녕..하..세요~ 하하.."
ep01-0025,조윤진,"야 성나정, 니 너무 굵은거 아이냐? 가슴 흘러가꼬 조금있으마 젖통 다 보이것다."
ep01-0026,성나정,디질거같거든? 
ep01-0027,조윤진,야 그래도 신부님 얼굴 좀 풀어야.
ep01-0028,성나정,너 이 표정으로 사진 오만방 찍어봐라 이렇게 되나안되나.
ep01-0029,조윤진,"야 다정아, 마지막기회다응? 얼른 도망가부러 이 문만 박차고 나서믄 닌 다시 자유당께."
ep01-0030,성나정,너 지금 결혼할 신부한테 그게 할소리냐? 지는 결혼해놓고 잘살면서 난 평생 독거녀로 늙어가라고
ep01-0031,조윤진,야 니 인자 결혼하믄 이상민오빠 보러 전주도 못내려가야
ep01-0032,성나정,신랑한테 허락받았거든? 휴일경기는 보러가도 된다고 했거든? 히히
ep01-0033,조윤진,결혼전에야 뭔 약속을 못한데.. 아 근다고 그걸 믿냐 멍충아
ep01-0034,성나정,어. 아님 니 뒤에 우리 신랑한테 물어보든지.
ep01-0035,조윤진,"어? 진짜? 그럼 신랑도 한마디 하셔야죠~ 잠깐만잠깐만 왜이래. 아 근데 오늘 때깔디진다 진짜 어? 꾸미니까 다르구마~ 아이고 왜이래 이거. 됬다됬다. 아 오늘 머리 힘좀 줬구마, 아주"
ep01-0036,효과음,(마지막승부 OST 전주)
ep01-0037,효과음,처음부터 알순 없는거야~ 그 누구도 본적 없는 내일 기대만큼 두려운 미래지만 너와함께 달려가는거야 힘이들면 그대로 멈춰 눈물흘려도 좋아 이제 시작이란 마음만은 잊지마~
ep01-0038,성동일,"아따 그래도 덩크슛은 너무 심하다, 안그냐?"
ep01-0039,쓰레기,"와 고마 시청률 잘나온다고마 막판에 하고싶은거 다 털고가네요 아부지예? 그래도 덩크는 심하지, 저거 백프로 의자위에 올라가가지고 했을걸? 저거 말이됩니까 장동건이 덩크는 무슨"
ep01-0040,성나정,드라마다 드라마 그래 따져사치마라 그러면 와 드라마보고 앉아있노 고마 잠이나 쳐자지
ep01-0041,쓰레기,"야이 가시나야 다슬이 나오잖아, 어? 다슬이로 변해라"
ep01-0042,성나정,죽을래
ep01-0043,쓰레기,따라해봐 난 다슬이~ 다슬이~
ep01-0044,성나정,하지말라 이 문디 무시마
ep01-0045,쓰레기,아아아 좀 하지마라 가시나야쫌! 놔라! 뭐고 이거 가시나 개기름이가 이거
ep01-0046,성나정,개기름 아니거든!
ep01-0047,쓰레기,놔라쫌! 하지마라 쫌 아부지 계신다 가시나야 아부지계신다고 
ep01-0048,성동일,아따 좀 조용안할래~!!!!!! 이래서 사람찔른갑서~ 시끄러워가꼬 그냥.. 여보 다안됐는가?
ep01-0049,이일화,간다간다~ 아이고
ep01-0050,효과음,(음메-)
ep01-0051,이일화,어어어~ 아이고.
ep01-0052,성동일,임자..이건 어떤 음식이여? 아 그냥 간단하게 먹자 했자네
ep01-0053,이일화,"먹다가 모지라는거 보단 낫다~ 한 숟가락 아들 나놔주고 하면 금방 없어진다. 나정아, 부엌가서 오이랑 삶은계란 갖고온나잉"
ep01-0054,성나정,예
ep01-0055,성동일,국수로 밧줄꽈도 되것어
ep01-0056,이일화,묵다가 모지라면 말해라
ep01-0057,쓰레기,그럴리가요 어무이..
ep01-0058,성동일,임자 그만..
ep01-0059,이일화,우리딸래미 테레비 안으로 기들어가겠다 기들어가긋어..
ep01-0060,성나정,"아 오늘 상민오빠 나온다 했는데 아직도 안나왔다. 이것들이 구라깐거아이가, 오빠기다라다가 눈알빠지겠다 진짜"
ep01-0061,쓰레기,가시나 진짜 나이 스물쳐묵고 말할때 이쁘게 모하나? 아버지 식사하시는데 썅놈시키 진짜
ep01-0062,성나정,걸배이가 니나 사람좀 되라
ep01-0063,쓰레기,가시나가 진짜 오빠한테 죽을래니
ep01-0064,성나정,"아! 하지말라캤제 내가, 하지말라고! 볼따꾸 꼬집지 말라고 했자나 내가 왜자꾸 꼬집는데"
ep01-0065,쓰레기,놔라 좀
ep01-0066,성동일,이상민 나왔다!
ep01-0067,성나정,오빠야.. 오..
ep01-0068,성동일,야 근데 선수가 시즌중에 저러케 테레비에 출연해도 된데?
ep01-0069,쓰레기,어차피 뭐 우승 기아가 안하겠슴니까
ep01-0070,성나정,"아이거든, "
ep01-0071,쓰레기,기거든
ep01-0072,성나정,아이다
ep01-0073,쓰레기,기다
ep01-0074,성나정,아이다 캉께네
ep01-0075,쓰레기,기다 카이께네
ep01-0076,성나정,저번에 연대가 기아 이겼거든
ep01-0077,쓰레기,그땐 김훈 금마 잠깐 돌아서 그랬거든
ep01-0078,성나정,니 연대 우승하믄 우짤래
ep01-0079,쓰레기,니 기아 우승하믄 우짤래
ep01-0080,성나정,내기할래
ep01-0081,쓰레기,내기하까
ep01-0082,성나정,뭐걸낀데
ep01-0083,쓰레기,내꺼 중에 갖고싶은거 있음 아무거나 가가라
